sku,name,description,category,rating,reviewCount,price,image,url
1577881,All-Clad d5 Stainless-Steel 10-Piece Cookware Set,"A useful collection for any discerning chef, the All-Clad d5 Polished Stainless-Steel 10-Piece Cookware Set features a patented technology of five alternating layers of responsive aluminum and durable heat-diffusing stainless steel. The only cookware…",cookware,4.4222,90,799.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202143/0276/all-clad-d5-stainless-steel-10-piece-cookware-set-o.jpg,https://www.williams-sonoma.com/products/all-clad-d5-stainless-steel-10-piece-cookware-set/
2001048,Lodge Seasoned Carbon Steel Skillet,"America's oldest family-owned cookware foundry, Lodge, has been forging cast-iron pots and pans since 1896. In 2011, Lodge added seasoned carbon steel. Seasoned Carbon steel pans provide the culinary precision required to meet the challenges of the…",cookware,4.25,8,49.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0088/img9o.jpg,https://www.williams-sonoma.com/products/lodge-seasoned-steel-skillet/
205476,Williams Sonoma Signature Thermo-Clad&amp;#8482; Stainless-Steel 10-Piece Cookware Set,"We've configured this set to include the pieces you'll use most often for both everyday cooking and entertaining. They're part of our new Stainless Steel Thermo-Clad&amp;#8482; collection &amp;ndash; designed, engineered and crafted in Italy to our precise…",cookware,3.8776,49,799.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202132/0266/williams-sonoma-thermo-clad-stainless-steel-10-piece-cookw-o.jpg,https://www.williams-sonoma.com/products/ws-signature-thermo-clad-stainless-steel-10-piece-cookware-set/
9635702,All-Clad NS1 Nonstick Induction 13-Piece Cookware Set,"All-Clad's latest innovation in high-performance cookware combines the impressive heating abilities of anodized aluminum with rugged nonstick surfaces and induction-compatible bases. In this versatile set, we've included the pieces you'll need for everyday cooking and lavish entertaining alike.",cookware,3.3125,16,599.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202143/0473/all-clad-ns1-nonstick-induction-13-piece-cookware-set-o.jpg,https://www.williams-sonoma.com/products/all-clad-ns1-nonstick-induction-13-piece-cookware-set/
8940434,Mauviel Copper M'150 B 12-Piece Cookware Set,"Mauviel professional copper cookware has been used in the world's great kitchens since 1830&amp;mdash;from fine restaurants to Parisian cooking schools. Designed for perfectly uniform heating with unrivaled temperature control, our set includes the ideal…",cookware,4.3333,6,1999.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202132/0291/mauviel-copper-150b-12-piece-cookware-set-o.jpg,https://www.williams-sonoma.com/products/mauviel-copper-12-piece-cookware-set-2015/
6117519,Le Creuset Signature Enameled Cast Iron Round Oven,"Inspired by nearly a century of culinary craftsmanship, Le Creuset's Signature collection of enameled cast-iron cookware seamlessly blends classic form with ergonomic innovations. Designed to enhance slow-cooking by heating evenly, this Dutch oven locks in moisture for tender, succulent dishes.",cookware,4.6667,102,230,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202152/0353/le-creuset-signature-enameled-cast-iron-round-oven-o.jpg,https://www.williams-sonoma.com/products/le-creuset-signature-round-dutch-oven/
8217892,GreenPan&amp;#8482; Premiere Stainless-Steel Ceramic Nonstick 15-Piece Cookware Set,"The pioneering company behind PFOA-free nonstick ceramic cookware, GreenPan&amp;#8482; elevates the art of healthy cooking with its innovative Premiere collection. Each piece features the company's Diamond Advanced nonstick ceramic finish, infused with…",cookware,4.9212,241,699.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202132/0594/greenpanpremiere-ceramic-nonstick-15-piece-cookware-set-o.jpg,https://www.williams-sonoma.com/products/greenpan-premiere-15-piece-set/
9688123,All-Clad d5 Stainless-Steel Nonstick Fry Pan Set,"A true kitchen staple, the All-Clad d5 Nonstick Polished Stainless-Steel 8&amp;quot; &amp;amp; 10&amp;quot; Fry Pan Set is ideal for searing and pan frying everything from eggs to meat. The nonstick fry pans feature a flat bottom and flared sides that make…",cookware,2.6071,28,199.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202143/0240/all-clad-d5-stainless-steel-nonstick-fry-pan-set-1-o.jpg,https://www.williams-sonoma.com/products/all-clad-d5-stainless-steel-nonstick-fry-pan-set/
7610995,"Williams Sonoma Pan Protectors, Set of 3","Protect the finishes of your pans with our softly cushioned pads. Designed to layer between stacked pans to prevent scratches, they're also ideal for stacks of bowls, skillets and bakeware. Woven of thick polyester felt, they clean easily with warm water.",cookware,,,17.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202127/0202/img15o.jpg,https://www.williams-sonoma.com/products/williams-sonoma-pan-protectors-set-of-3/
8909152,Enclume Grande Cuisine Rectangular Ceiling Pot Rack,"Liberate your kitchen cabinet space with our overhead rack that keeps pots and pans within easy reach while displaying it to the best advantage. The rack is hand forged in the Pacific Northwest by the master craftsmen at Enclume, America&amp;rsquo;s…",cookware,5,3,400,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0214/enclume-grande-cuisine-rectangular-ceiling-pot-rack-o.jpg,https://www.williams-sonoma.com/products/enclume-grande-cuisine-rectangular-pot-rack/
